g1,g2,typeG2,typeG1,g1g2
AGL24,AP1,1,NA,NA 1
AGL24,LFY,1,NA,NA 1
AGL24,GA,NA,1,1 NA
AGL24,FUL,0,NA,NA 0
AGL24,SOC1,1,1,1 1
AGL24,VER,NA,1,1 NA
AP1,AP1,1,1,1 1
AP1,LFY,1,1,1 1
AP1,AP2,1,NA,NA 1
AP1,AP2L,0,NA,NA 0
AP1,GA,0,0,0 0
AP1,FD,0,1,1 0
AP1,FT,NA,1,1 NA
AP1,FUL,0,NA,NA 0
AP1,PNY,NA,1,1 NA
AP1,SOC1,0,NA,NA 0
AP1,SPL3,NA,1,1 NA
AP1,SPL9,0,1,1 0
AP1,SVP,0,1,1 0
AP1,TFL1,0,0,0 0
AP1,XAL2,0,1,1 0
LFY,GA,0,1,1 0
LFY,FD,1,1,1 1
LFY,FUL,NA,1,1 NA
LFY,PNY,NA,1,1 NA
LFY,SOC1,NA,1,1 NA
LFY,SPL3,NA,1,1 NA
LFY,SVP,NA,1,1 NA
LFY,TFL1,1,0,0 1
LFY,XAL2,NA,1,1 NA
AP2,AP2L,1,NA,NA 1
AP2,FLC,NA,1,1 NA
AP2,FUL,0,0,0 0
AP2,MIR156,1,NA,NA 1
AP2,MIR172,0,0,0 0
AP2,SOC1,0,0,0 0
AP2,SVP,NA,1,1 NA
AP2L,FLC,NA,1,1 NA
AP2L,FT,0,NA,NA 0
AP2L,FUL,NA,0,0 NA
AP2L,MIR172,NA,0,0 NA
AP2L,PNY,NA,0,0 NA
AP2L,SOC1,0,0,0 0
AP2L,SVP,NA,1,1 NA
GA,FD,1,NA,NA 1
GA,FT,1,NA,NA 1
GA,FUL,1,NA,NA 1
GA,MIR172,1,NA,NA 1
GA,SOC1,1,NA,NA 1
GA,SPL3,1,NA,NA 1
GA,SPL9,1,NA,NA 1
GA,SVP,NA,0,0 NA
GA,XAL2,1,NA,NA 1
GA,AGE,NA,1,1 NA
FLC,FD,0,0,0 0
FLC,FT,0,0,0 0
FLC,MIR172,0,NA,NA 0
FLC,SOC1,0,NA,NA 0
FLC,SPL9,0,NA,NA 0
FLC,FCA,NA,0,0 NA
FLC,VER,NA,0,0 NA
FLC,AGE,NA,0,0 NA
FD,FUL,1,NA,NA 1
FD,PNY,NA,1,1 NA
FD,SOC1,1,NA,NA 1
FD,SPL3,1,NA,NA 1
FD,AGE,NA,1,1 NA
FT,FUL,1,NA,NA 1
FT,SOC1,1,NA,NA 1
FT,SPL3,1,NA,NA 1
FT,SVP,NA,0,0 NA
FT,CO,NA,1,1 NA
FUL,SOC1,1,1,1 1
FUL,SPL3,NA,1,1 NA
FUL,SPL9,NA,1,1 NA
FUL,SVP,NA,0,0 NA
MIR156,PNY,NA,0,0 NA
MIR156,SPL3,0,NA,NA 0
MIR156,SPL9,0,NA,NA 0
MIR156,AGE,NA,0,0 NA
MIR172,SOC1,NA,1,1 NA
MIR172,SPL9,NA,1,1 NA
MIR172,SVP,NA,0,0 NA
MIR172,FCA,NA,1,1 NA
PNY,PNY,1,1,1 1
PNY,TFL1,0,NA,NA 0
SOC1,SOC1,1,1,1 1
SOC1,SPL3,1,NA,NA 1
SOC1,SPL9,NA,1,1 NA
SOC1,SVP,NA,0,0 NA
SOC1,XAL2,0,1,1 0
SOC1,CO,NA,1,1 NA
SPL9,SVP,NA,0,0 NA
SPL9,XAL2,1,NA,NA 1
SVP,FCA,NA,0,0 NA
TFL1,XAL2,NA,1,1 NA
XAL2,CO,NA,1,1 NA
XAL2,AGE,NA,1,1 NA
CO,CO,1,1,1 1
FCA,FCA,1,1,1 1
VER,VER,1,1,1 1
AGE,AGE,1,1,1 1
