initialBasin,initialAttractor,initialPhenotype,nodeP,finalBasin,finalAttractor,finalPhenotype
1,197720,JVM,PNY,2,5214,FM
2,5214,FM,PNY,1,197720,JVM
3,984152,JVM,PNY,4,529502,FM
4,529502,FM,PNY,3,984152,JVM
5,1180752,JVM,PNY,6,1053790,FM
5,1180752,JVM,AGE,21,5434017,IM
6,1053790,FM,PNY,5,1180752,JVM
7,1967184,JVM,PNY,8,1578078,FM
7,1967184,JVM,AGE,23,5958561,IM
8,1578078,FM,PNY,7,1967184,JVM
9,2294801,JVM,PNY,10,2102303,FM
9,2294801,JVM,AGE,25,6785153,AVM
10,2102303,FM,PNY,9,2294801,JVM
11,3081233,JVM,PNY,12,2626591,FM
11,3081233,JVM,AGE,27,7309441,AVM
12,2626591,FM,PNY,11,3081233,JVM
13,3277841,JVM,PNY,14,3150879,FM
13,3277841,JVM,AGE,29,7531169,IM
14,3150879,FM,PNY,13,3277841,JVM
15,4064273,JVM,PNY,16,3675167,FM
15,4064273,JVM,AGE,31,8055713,IM
16,3675167,FM,PNY,15,4064273,JVM
17,4654168,JVM,PNY,18,4198494,FM
17,4654168,JVM,FCA,21,5434017,IM
17,4654168,JVM,VER,25,6785153,AVM
18,4198494,FM,PNY,17,4654168,JVM
19,5178456,JVM,PNY,20,4722782,FM
19,5178456,JVM,FCA,23,5958561,IM
19,5178456,JVM,VER,27,7309441,AVM
20,4722782,FM,PNY,19,5178456,JVM
21,5434017,IM,PNY,22,5247006,FM
21,5434017,IM,FCA,17,4654168,JVM
21,5434017,IM,AGE,5,1180752,JVM
22,5247006,FM,PNY,21,5434017,IM
23,5958561,IM,PNY,24,5771294,FM
23,5958561,IM,FCA,19,5178456,JVM
23,5958561,IM,AGE,7,1967184,JVM
24,5771294,FM,PNY,23,5958561,IM
25,6785153,AVM,PNY,26,6295583,FM
25,6785153,AVM,FCA,29,7531169,IM
25,6785153,AVM,VER,17,4654168,JVM
25,6785153,AVM,AGE,9,2294801,JVM
26,6295583,FM,PNY,25,6785153,AVM
27,7309441,AVM,PNY,28,6819871,FM
27,7309441,AVM,FCA,31,8055713,IM
27,7309441,AVM,VER,19,5178456,JVM
27,7309441,AVM,AGE,11,3081233,JVM
28,6819871,FM,PNY,27,7309441,AVM
29,7531169,IM,PNY,30,7344159,FM
29,7531169,IM,FCA,25,6785153,AVM
29,7531169,IM,AGE,13,3277841,JVM
30,7344159,FM,PNY,29,7531169,IM
31,8055713,IM,PNY,32,7868447,FM
31,8055713,IM,FCA,27,7309441,AVM
31,8055713,IM,AGE,15,4064273,JVM
32,7868447,FM,PNY,31,8055713,IM
